# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.226382467331796344e-01,1.157008073688171323e-01,1.213333573393344036e-02,-2.352286992159516310e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.226382467331796344e-01,1.157008073688171323e-01,1.213333573393344036e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.573617532668204149e+02
2.000000000000000042e-03,5.185655027162283659e-05,-9.139176108874380589e-05,3.408468484878540039e+00,5.185655027162283659e-05,-9.139176108874380589e-05,3.408468484878540039e+00,-3.090738013076448076e-02,-1.157792321915829259e-02,7.107281930076771170e-02,3.913617982736749407e-02,-5.185655027162283659e-05,9.139176108874380589e-05,-3.408468484878540039e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.107281930076771170e-02,3.913617982736749407e-02,5.678673386573791504e-01,1.131131134033203125e+02,1.131144180297851562e+02,1.894038009643554688e+01,7.457440958433686546e+02
3.000000000000000062e-03,3.926273711840622127e-05,-7.631748303538188338e-05,3.365323066711425781e+00,-1.259381315321661532e-05,1.507427805336192250e-05,-4.314541816711425781e-02,9.475720309333490743e-02,-5.518741412686180292e-02,7.204590562724788594e-02,-3.221634714865496962e-02,-3.926273711840622127e-05,7.631748303538188338e-05,-3.365323066711425781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.475720309333490743e-02,0.000000000000000000e+00,7.204590562724788594e-02,0.000000000000000000e+00,1.896137619018554688e+01,1.299483489990234375e+02,2.256529083251953125e+02,1.314932556152343750e+02,7.855350549794109156e+02
4.000000000000000083e-03,-2.064885804429650307e-03,-7.137997308745980263e-04,3.368427753448486328e+00,-2.104148541548056528e-03,-6.374822478392161429e-04,3.104686737060546875e-03,-1.187226807945346296e-02,5.860675765495670930e-02,3.458496063668756865e-02,7.089548479663748681e-02,2.064885804429650307e-03,7.137997308745980263e-04,-3.368427753448486328e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.860675765495670930e-02,3.458496063668756865e-02,7.089548479663748681e-02,1.315065460205078125e+02,1.463944549560546875e+02,3.381990966796875000e+02,1.479019165039062500e+02,7.852218859539054847e+02
5.000000000000000104e-03,-6.067530717700719833e-03,-4.051994998008012772e-03,4.961980342864990234e+00,-4.002644913271069527e-03,-3.338195267133414745e-03,1.593552589416503906e+00,5.151579312503205832e-02,5.636431095384961121e-02,-6.228541107690342693e-02,3.687210885851290032e-02,6.067530717700719833e-03,4.051994998008012772e-03,-4.961980342864990234e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.151579312503205832e-02,5.636431095384961121e-02,0.000000000000000000e+00,3.687210885851290032e-02,1.476499176025390625e+02,2.592054138183593750e+02,4.510107116699218750e+02,2.601819152832031250e+02,8.152092150218624056e+02
6.000000000000000125e-03,-1.361533161252737045e-02,-7.371140178292989731e-03,3.241309642791748047e+00,-7.547800894826650620e-03,-3.319145180284976959e-03,-1.720670700073242188e+00,5.851150118672688444e-02,8.327557652805447908e-02,-3.877888953218677770e-02,4.167989584352930349e-02,1.361533161252737045e-02,7.371140178292989731e-03,-3.241309642791748047e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.851150118672688444e-02,8.327557652805447908e-02,0.000000000000000000e+00,4.167989584352930349e-02,2.604822692871093750e+02,3.714646606445312500e+02,4.596012573242187500e+02,3.730144958496093750e+02,8.672037086709489131e+02
7.000000000000000146e-03,-1.959099993109703064e-02,-7.380348164588212967e-03,1.517035841941833496e+00,-5.975668318569660187e-03,-9.207986295223236084e-06,-1.724273800849914551e+00,1.142111261748696149e-02,1.262669977830617116e-02,1.573350571344655363e-02,1.220887233216984280e-01,1.959099993109703064e-02,7.380348164588212967e-03,-1.517035841941833496e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.142111261748696149e-02,1.262669977830617116e-02,1.573350571344655363e-02,1.220887233216984280e-01,3.733152160644531250e+02,4.837233276367187500e+02,4.679886779785156250e+02,4.858476867675781250e+02,8.077956644106945987e+02
8.000000000000000167e-03,-2.289803326129913330e-02,-3.170035080984234810e-03,1.516824007034301758e+00,-3.307033330202102661e-03,4.210313083603978157e-03,-2.118349075317382812e-04,1.299386087277033253e-01,1.380278951289658218e-01,-7.225220894621416090e-03,4.046545873825470319e-02,2.289803326129913330e-02,3.170035080984234810e-03,-1.516824007034301758e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299386087277033253e-01,1.380278951289658218e-01,0.000000000000000000e+00,4.046545873825470319e-02,4.858609313964843750e+02,5.962689819335937500e+02,5.805343627929687500e+02,5.983934326171875000e+02,7.545993512345285126e+02
8.999999999999999320e-03,-2.711219899356365204e-02,2.174415625631809235e-03,-1.834554374217987061e-01,-4.214165732264518738e-03,5.344450706616044044e-03,-1.700279444456100464e+00,1.319748274273219515e-02,4.356188001874784776e-02,1.346165571744885048e-01,1.586206133824515779e-02,2.711219899356365204e-02,-2.174415625631809235e-03,1.834554374217987061e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.319748274273219515e-02,4.356188001874784776e-02,1.346165571744885048e-01,1.586206133824515779e-02,5.943663940429687500e+02,7.085316162109375000e+02,5.860751953125000000e+02,7.112226562500000000e+02,7.476503365659395968e+02
1.000000000000000021e-02,-2.669822797179222107e-02,1.388116832822561264e-02,-1.839412152767181396e-01,4.139710217714309692e-04,1.170675270259380341e-02,-4.857778549194335938e-04,-2.053574521789915813e-02,1.052749260593024011e-01,1.161355321973596422e-03,1.176823781105534317e-01,2.669822797179222107e-02,-1.388116832822561264e-02,1.839412152767181396e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.052749260593024011e-01,1.161355321973596422e-03,1.176823781105534317e-01,7.069121704101562500e+02,8.210772094726562500e+02,6.986207885742187500e+02,8.237684326171875000e+02,7.465444539915339419e+02
1.099999999999999936e-02,-2.622593007981777191e-02,2.765599638223648071e-02,-1.832606077194213867e+00,4.722978919744491577e-04,1.377482805401086807e-02,-1.648664861917495728e+00,4.175897544242759829e-02,1.201393856674384114e-02,1.182433264211624896e-02,3.019401790033156979e-02,2.622593007981777191e-02,-2.765599638223648071e-02,1.832606077194213867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.175897544242759829e-02,1.201393856674384114e-02,1.182433264211624896e-02,3.019401790033156979e-02,8.197324218750000000e+02,9.333485107421875000e+02,7.116103515625000000e+02,9.365891113281250000e+02,7.834138546726162531e+02
1.200000000000000025e-02,-1.933778077363967896e-02,4.909232258796691895e-02,-2.095366239547729492e+00,6.888149306178092957e-03,2.143632620573043823e-02,-2.627601623535156250e-01,2.230368865106708426e-02,-3.551929969505557283e-02,7.707509404894923033e-02,-5.143560030473282030e-02,1.933778077363967896e-02,-4.909232258796691895e-02,2.095366239547729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.230368865106708426e-02,0.000000000000000000e+00,7.707509404894923033e-02,0.000000000000000000e+00,9.323218383789062500e+02,1.036155395507812500e+03,8.179885253906250000e+02,1.049178588867187500e+03,8.137157925971418990e+02
1.299999999999999940e-02,-1.190090831369161606e-02,7.298793643712997437e-02,-2.086378335952758789e+00,7.436872459948062897e-03,2.389561384916305542e-02,8.987903594970703125e-03,3.601053270792664573e-02,-2.893252922974182129e-02,3.581446409650021478e-02,-2.839984936547712557e-02,1.190090831369161606e-02,-7.298793643712997437e-02,2.086378335952758789e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.601053270792664573e-02,0.000000000000000000e+00,3.581446409650021478e-02,0.000000000000000000e+00,1.044866088867187500e+03,1.031241821289062500e+03,9.305357666015625000e+02,1.043955078125000000e+03,8.387742703000726578e+02
1.400000000000000029e-02,-3.344421274960041046e-03,8.040308207273483276e-02,-2.077043771743774414e+00,8.556487038731575012e-03,7.415145635604858398e-03,9.334564208984375000e-03,6.056757750255024192e-02,-2.420667405536218453e-02,1.961105171625080607e-02,-3.211374794556501322e-02,3.344421274960041046e-03,-8.040308207273483276e-02,2.077043771743774414e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.056757750255024192e-02,0.000000000000000000e+00,1.961105171625080607e-02,0.000000000000000000e+00,1.157410156250000000e+03,1.026444213867187500e+03,1.043083007812500000e+03,1.038854614257812500e+03,8.554808119660933698e+02
1.499999999999999944e-02,6.326728034764528275e-03,6.946226954460144043e-02,-2.067623376846313477e+00,9.671149309724569321e-03,-1.094081252813339233e-02,9.420394897460937500e-03,-5.467365773815016650e-02,9.167293195043095533e-02,4.519788513017322651e-02,-2.377369249968869225e-02,-6.326728034764528275e-03,-6.946226954460144043e-02,2.067623376846313477e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.167293195043095533e-02,4.519788513017322651e-02,0.000000000000000000e+00,1.269954345703125000e+03,1.021759582519531250e+03,1.155630249023437500e+03,1.033874267578125000e+03,7.883677232572099456e+02
1.600000000000000033e-02,1.717536710202693939e-02,3.827459365129470825e-02,-1.187734752893447876e-01,1.084863906726241112e-02,-3.118767589330673218e-02,1.948849901556968689e+00,8.935275432830777631e-02,-4.144050134226820448e-02,9.015222586452635578e-02,1.982067695529349249e-02,-1.717536710202693939e-02,-3.827459365129470825e-02,1.187734752893447876e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.935275432830777631e-02,0.000000000000000000e+00,9.015222586452635578e-02,1.982067695529349249e-02,1.382175537109375000e+03,1.134629760742187500e+03,1.268501098632812500e+03,1.028687866210937500e+03,7.925911324362417645e+02
