# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.050157847325204508e-02,4.648436295310792027e-02,7.621827407354024586e-02,6.264553236224061628e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.050157847325204508e-02,4.648436295310792027e-02,7.621827407354024586e-02,6.264553236224061628e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.037817259264597851e+02
2.000000000000000042e-03,-2.838872569554951042e-05,5.003216574550606310e-05,-1.866714596748352051e+00,-2.838872569554951042e-05,5.003216574550606310e-05,-1.866714596748352051e+00,8.295235104907577178e-03,-5.600822934236186768e-02,-2.358926128516915244e-02,1.116979795857554192e-01,2.838872569554951042e-05,-5.003216574550606310e-05,1.866714596748352051e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.295235104907577178e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.116979795857554192e-01,3.110036849975585938e-01,3.107623457908630371e-01,3.114758729934692383e-01,1.128569183349609375e+02,8.002971025374372402e+02
3.000000000000000062e-03,-5.994142265990376472e-04,6.023267633281648159e-04,-4.616725444793701172e+00,-5.710255009034881368e-04,5.522945975826587528e-04,-2.750010848045349121e+00,-5.888006166120013374e-02,2.854879165989072584e-02,-3.021030085176143465e-02,-4.638520918678611105e-02,5.994142265990376472e-04,-6.023267633281648159e-04,4.616725444793701172e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.854879165989072584e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.310485839843750000e+01,1.874742317199707031e+01,1.874567413330078125e+01,2.258611145019531250e+02,7.504724892485664896e+02
4.000000000000000083e-03,-2.333384240046143532e-03,2.147651277482509613e-03,-2.958773612976074219e+00,-1.733970013447105885e-03,1.545324514154344797e-03,1.657951831817626953e+00,-6.466238125731844921e-02,-1.289642440186369865e-02,-3.945163335238154045e-02,8.516840086660228126e-02,2.333384240046143532e-03,-2.147651277482509613e-03,2.958773612976074219e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.516840086660228126e-02,1.101426925659179688e+02,1.315691223144531250e+02,3.808912277221679688e+01,2.397694549560546875e+02,8.073914023381668130e+02
5.000000000000000104e-03,-3.573634894564747810e-03,4.487998317927122116e-03,-4.525454998016357422e+00,-1.240250654518604279e-03,2.340347040444612503e-03,-1.566681385040283203e+00,-5.541802871093115535e-02,3.381563175550893197e-02,1.462980319239174931e-01,-2.752313999398140615e-02,3.573634894564747810e-03,-4.487998317927122116e-03,4.525454998016357422e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.381563175550893197e-02,1.462980319239174931e-01,0.000000000000000000e+00,1.273161392211914062e+02,1.477156982421875000e+02,5.643856048583984375e+01,3.525763854980468750e+02,7.219765435739475379e+02
6.000000000000000125e-03,-7.230321411043405533e-03,9.156127460300922394e-03,-1.253190398216247559e+00,-3.656686516478657722e-03,4.668129142373800278e-03,3.272264599800109863e+00,-6.726694935866424363e-03,-3.160846880547493742e-02,1.875865257753683846e-02,-3.346968370275996141e-02,7.230321411043405533e-03,-9.156127460300922394e-03,1.253190398216247559e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.875865257753683846e-02,0.000000000000000000e+00,1.432786254882812500e+02,2.608061218261718750e+02,1.695302581787109375e+02,3.632286376953125000e+02,7.713697742192866826e+02
7.000000000000000146e-03,-1.018431782722473145e-02,1.476012915372848511e-02,3.869651854038238525e-01,-2.953996416181325912e-03,5.604001693427562714e-03,1.640155583620071411e+00,-2.796766275391653067e-02,1.254505270016619684e-02,1.435570254823458347e-01,-5.963508541970226340e-02,1.018431782722473145e-02,-1.476012915372848511e-02,-3.869651854038238525e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.254505270016619684e-02,1.435570254823458347e-01,0.000000000000000000e+00,1.591367645263671875e+02,2.744402465820312500e+02,2.823496093750000000e+02,3.739019775390625000e+02,7.566221857451333790e+02
8.000000000000000167e-03,-1.504319068044424057e-02,1.880099438130855560e-02,3.680137634277343750e+00,-4.858872853219509125e-03,4.040865227580070496e-03,3.293172448873519897e+00,1.359672108163565429e-01,-4.438512728275051389e-02,-3.889545565726225396e-02,-3.099874797708082608e-02,1.504319068044424057e-02,-1.880099438130855560e-02,-3.680137634277343750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.359672108163565429e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.743457183837890625e+02,3.875341186523437500e+02,3.954448242187500000e+02,3.840480346679687500e+02,7.230490453719110064e+02
8.999999999999999320e-03,-2.014964818954467773e-02,2.300315909087657928e-02,1.982339262962341309e+00,-5.106457509100437164e-03,4.202164709568023682e-03,-1.697798371315002441e+00,1.528631961814886364e-01,-3.050587666679109577e-02,-4.247813122332014246e-02,1.248523237285698861e-01,2.014964818954467773e-02,-2.300315909087657928e-02,-1.982339262962341309e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.528631961814886364e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.248523237285698861e-01,2.871742248535156250e+02,3.976254272460937500e+02,4.053489379882812500e+02,3.947872619628906250e+02,7.647610649464977541e+02
1.000000000000000021e-02,-2.344825491309165955e-02,2.562515996396541595e-02,-1.416929244995117188e+00,-3.298606723546981812e-03,2.622000873088836670e-03,-3.399268507957458496e+00,5.009837836906854552e-02,9.107026849583724215e-02,-4.585452265920517134e-02,9.865170797780081768e-02,2.344825491309165955e-02,-2.562515996396541595e-02,1.416929244995117188e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.009837836906854552e-02,9.107026849583724215e-02,0.000000000000000000e+00,9.865170797780081768e-02,4.002861938476562500e+02,4.071955871582031250e+02,4.147356872558593750e+02,5.078998413085937500e+02,7.791568913399081566e+02
