# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.220909688057809639e-01,1.238259694934508992e-01,9.172674661111802907e-04,-1.961764512148531092e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.220909688057809639e-01,1.238259694934508992e-01,9.172674661111802907e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561740305065491157e+02
2.000000000000000042e-03,3.042571006517391652e-05,-5.362214142223820090e-05,1.998180389404296875e+00,3.042571006517391652e-05,-5.362214142223820090e-05,1.998180389404296875e+00,-3.145465805816315130e-02,-3.452761094524525731e-03,5.985675103294545163e-02,4.304140462747734625e-02,-3.042571006517391652e-05,5.362214142223820090e-05,-1.998180389404296875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.985675103294545163e-02,4.304140462747734625e-02,3.329065144062042236e-01,1.128783340454101562e+02,2.791760826110839844e+01,1.917551612854003906e+01,7.521813056341482024e+02
3.000000000000000062e-03,4.882591310888528824e-04,4.494045278988778591e-04,4.133272767066955566e-01,4.578334210236789659e-04,5.030266693211160600e-04,-1.584853112697601318e+00,7.867771767692255391e-02,-2.651685281323265531e-02,5.836796287440974146e-02,-2.880175202154926228e-02,-4.882591310888528824e-04,-4.494045278988778591e-04,-4.133272767066955566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.867771767692255391e-02,0.000000000000000000e+00,5.836796287440974146e-02,0.000000000000000000e+00,1.124768218994140625e+02,1.294624481201171875e+02,1.401988525390625000e+02,1.319854431152343750e+02,8.051441673174472271e+02
4.000000000000000083e-03,1.995995262404903769e-04,4.789203230757266283e-04,2.002680063247680664e+00,-2.886596048483625054e-04,2.951579517684876919e-05,1.589352786540985107e+00,-2.239403760307406843e-02,7.281756593208682515e-02,3.753102749307183489e-02,6.803367506610771831e-02,-1.995995262404903769e-04,-4.789203230757266283e-04,-2.002680063247680664e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.281756593208682515e-02,3.753102749307183489e-02,6.803367506610771831e-02,1.290694580078125000e+02,1.461840820312500000e+02,2.530097351074218750e+02,1.481180267333984375e+02,7.974823944961741518e+02
5.000000000000000104e-03,-1.750463619828224182e-03,-9.555069264024496078e-04,3.595134019851684570e+00,-1.950063146068714559e-03,-1.434427249478176236e-03,1.592453956604003906e+00,4.813889197528230246e-02,7.205544826769239020e-02,-6.856456966912756468e-02,3.986835090486910704e-02,1.750463619828224182e-03,9.555069264024496078e-04,-3.595134019851684570e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.813889197528230246e-02,7.205544826769239020e-02,0.000000000000000000e+00,3.986835090486910704e-02,1.452704620361328125e+02,2.589948730468750000e+02,3.658211364746093750e+02,2.603981933593750000e+02,8.229468431318408648e+02
6.000000000000000125e-03,-6.454916670918464661e-03,-1.650231075473129749e-03,1.907661676406860352e+00,-4.704453051090240479e-03,-6.947241490706801414e-04,-1.687472343444824219e+00,4.921403490865070701e-02,1.055932006201565493e-01,-4.717989003191211395e-02,4.531622024919946395e-02,6.454916670918464661e-03,1.650231075473129749e-03,-1.907661676406860352e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.921403490865070701e-02,1.055932006201565493e-01,0.000000000000000000e+00,4.531622024919946395e-02,2.580972595214843750e+02,3.712596435546875000e+02,3.764252624511718750e+02,3.732252502441406250e+02,8.557480227845038598e+02
7.000000000000000146e-03,-9.612584486603736877e-03,9.859222918748855591e-04,2.158255577087402344e-01,-3.157667815685272217e-03,2.636153367348015308e-03,-1.691836118698120117e+00,1.001302441024209955e-02,1.376996454881397255e-02,1.779673241327563854e-02,1.211405445535404801e-01,9.612584486603736877e-03,-9.859222918748855591e-04,-2.158255577087402344e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001302441024209955e-02,1.376996454881397255e-02,1.779673241327563854e-02,1.211405445535404801e-01,3.709248046875000000e+02,4.835236816406250000e+02,3.867787170410156250e+02,4.860530395507812500e+02,7.917693073443172125e+02
8.000000000000000167e-03,-1.013040728867053986e-02,7.852503098547458649e-03,4.461569488048553467e-01,-5.178228020668029785e-04,6.866580806672573090e-03,2.303313910961151123e-01,1.289871397831537647e-01,1.382084972026352554e-01,-6.392698979185630626e-03,3.933528314773955536e-02,1.013040728867053986e-02,-7.852503098547458649e-03,-4.461569488048553467e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.289871397831537647e-01,1.382084972026352554e-01,0.000000000000000000e+00,3.933528314773955536e-02,4.695137634277343750e+02,5.961077270507812500e+02,4.993628540039062500e+02,5.985603027343750000e+02,7.554089210814386206e+02
8.999999999999999320e-03,-1.137351430952548981e-02,1.706154458224773407e-02,-1.294107556343078613e+00,-1.243107020854949951e-03,9.209041483700275421e-03,-1.740264505147933960e+00,9.534622349208019682e-03,5.537007274869780449e-02,1.274814162786449823e-01,1.781417305928397615e-02,1.137351430952548981e-02,-1.706154458224773407e-02,1.294107556343078613e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.534622349208019682e-03,5.537007274869780449e-02,1.274814162786449823e-01,1.781417305928397615e-02,5.823493041992187500e+02,7.083637084960937500e+02,5.068103637695312500e+02,7.113962402343750000e+02,7.510426692107631652e+02
1.000000000000000021e-02,-7.971444167196750641e-03,3.252423182129859924e-02,-9.121642112731933594e-01,3.402070142328739166e-03,1.546268723905086517e-02,3.819433450698852539e-01,-2.068226535568603447e-02,1.040176137614813451e-01,3.192847424447822768e-04,1.167255089851872429e-01,7.971444167196750641e-03,-3.252423182129859924e-02,9.121642112731933594e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040176137614813451e-01,3.192847424447822768e-04,1.167255089851872429e-01,6.717461547851562500e+02,8.209729614257812500e+02,6.194197998046875000e+02,8.238782348632812500e+02,7.536798383664100811e+02
