# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.995430054585337454e-02,5.460952507774168713e-02,6.500220580571798579e-02,6.655075716235046845e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.995430054585337454e-02,5.460952507774168713e-02,6.500220580571798579e-02,6.655075716235046845e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.134492428376495354e+02
2.000000000000000042e-03,-2.838872569554951042e-05,5.003216574550606310e-05,-1.866714596748352051e+00,-2.838872569554951042e-05,5.003216574550606310e-05,-1.866714596748352051e+00,7.747957177508906640e-03,-4.788306721772810082e-02,-3.480532955299141251e-02,1.156032043858652714e-01,2.838872569554951042e-05,-5.003216574550606310e-05,1.866714596748352051e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.747957177508906640e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.156032043858652714e-01,3.110036849975585938e-01,3.107623457908630371e-01,3.114758729934692383e-01,1.128569183349609375e+02,8.115131708052595059e+02
3.000000000000000062e-03,-6.045116460882127285e-04,6.113112322054803371e-04,-4.951685428619384766e+00,-5.761229203926632181e-04,5.612790664599742740e-04,-3.084970831871032715e+00,-5.547719672818623993e-02,2.233618761402279482e-02,-3.525238888353021682e-02,-4.555476151298849807e-02,6.045116460882127285e-04,-6.113112322054803371e-04,4.951685428619384766e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.233618761402279482e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.133706588745117188e+02,1.869165992736816406e+01,1.868978309631347656e+01,2.259169616699218750e+02,7.433622296800199365e+02
4.000000000000000083e-03,-2.164877718314528465e-03,2.000488108024001122e-03,-3.285763740539550781e+00,-1.560366072226315737e-03,1.389176875818520784e-03,1.665921688079833984e+00,-6.033286675383943420e-02,-2.799736844406949809e-02,-4.002591218386346295e-02,8.365155802450023603e-02,2.164877718314528465e-03,-2.000488108024001122e-03,3.285763740539550781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.365155802450023603e-02,1.299294738769531250e+02,1.315146789550781250e+02,3.803588104248046875e+01,2.398226623535156250e+02,8.100713792513444105e+02
5.000000000000000104e-03,-3.208417445421218872e-03,4.163544625043869019e-03,-4.844662666320800781e+00,-1.043539727106690407e-03,2.163056517019867897e-03,-1.558898925781250000e+00,-5.977947938308081355e-02,5.235091198317008698e-02,1.275694895960366448e-01,-2.275059608681587880e-02,3.208417445421218872e-03,-4.163544625043869019e-03,4.844662666320800781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235091198317008698e-02,1.275694895960366448e-01,0.000000000000000000e+00,1.466352081298828125e+02,1.476638336181640625e+02,5.638787078857421875e+01,3.526282958984375000e+02,7.397559784717670937e+02
6.000000000000000125e-03,-6.646249443292617798e-03,8.634498342871665955e-03,-1.564816594123840332e+00,-3.437831997871398926e-03,4.470953717827796936e-03,3.279846072196960449e+00,-4.471958512373995498e-03,-3.643190315834968218e-02,1.088593996538472775e-02,-3.333149629431267358e-02,6.646249443292617798e-03,-8.634498342871665955e-03,1.564816594123840332e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.088593996538472775e-02,0.000000000000000000e+00,1.621410522460937500e+02,2.607555236816406250e+02,1.694808349609375000e+02,3.632780761718750000e+02,7.843384646483983715e+02
7.000000000000000146e-03,-9.362638927996158600e-03,1.402480714023113251e-02,5.718463286757469177e-02,-2.716389484703540802e-03,5.390308797359466553e-03,1.622001226991415024e+00,-3.635224813447072989e-02,4.011111610424946544e-02,1.225771441957247548e-01,-5.248596127419445645e-02,9.362638927996158600e-03,-1.402480714023113251e-02,-5.718463286757469177e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.011111610424946544e-02,1.225771441957247548e-01,0.000000000000000000e+00,1.775576019287109375e+02,2.743878173828125000e+02,2.807563171386718750e+02,3.739532470703125000e+02,7.707540110336393582e+02
8.000000000000000167e-03,-1.392936613410711288e-02,1.786797307431697845e-02,3.357586383819580078e+00,-4.566727206110954285e-03,3.843165934085845947e-03,3.300401750952005386e+00,1.308075705041617243e-01,-2.523572847903957084e-02,-5.420360928656524357e-02,-2.559116426354932083e-02,1.392936613410711288e-02,-1.786797307431697845e-02,-3.357586383819580078e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.308075705041617243e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.923311614990234375e+02,3.874829101562500000e+02,3.938527221679687500e+02,3.840968933105468750e+02,7.379220843157841045e+02
8.999999999999999320e-03,-1.871263794600963593e-02,2.187156863510608673e-02,1.660485982894897461e+00,-4.783271811902523041e-03,4.003595560789108276e-03,-1.697100400924682617e+00,1.429602659217840410e-01,-2.647273666150209981e-03,-5.870166914522567669e-02,1.330635668811883110e-01,1.871263794600963593e-02,-2.187156863510608673e-02,-1.660485982894897461e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.429602659217840410e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.330635668811883110e-01,3.051595458984375000e+02,3.975755004882812500e+02,4.037944946289062500e+02,3.948348388671875000e+02,7.554522905076011057e+02
1.000000000000000021e-02,-2.151841111481189728e-02,2.414271235466003418e-02,-1.738116979598999023e+00,-2.805773168802261353e-03,2.271143719553947449e-03,-3.398602962493896484e+00,5.178516597435419561e-02,8.921468053654771357e-02,-4.764012284459945290e-02,9.982533535435722527e-02,2.151841111481189728e-02,-2.414271235466003418e-02,1.738116979598999023e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.178516597435419561e-02,8.921468053654771357e-02,0.000000000000000000e+00,9.982533535435722527e-02,4.182713928222656250e+02,4.071470031738281250e+02,4.132180175781250000e+02,5.079473266601562500e+02,7.885608457329468592e+02
1.099999999999999936e-02,-2.511086314916610718e-02,2.713914588093757629e-02,-3.444798231124877930e+00,-3.592452034354209900e-03,2.996433526277542114e-03,-1.706681251525878906e+00,6.325002085611097780e-02,1.797385807116790024e-02,7.641427683293842976e-02,-1.797975842339240293e-02,2.511086314916610718e-02,-2.713914588093757629e-02,3.444798231124877930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.325002085611097780e-02,1.797385807116790024e-02,7.641427683293842976e-02,0.000000000000000000e+00,5.311013793945312500e+02,5.194085693359375000e+02,4.227017211914062500e+02,6.207777099609375000e+02,7.713287592511416051e+02
1.200000000000000025e-02,-2.547595277428627014e-02,3.440698981285095215e-02,-1.658936738967895508e+00,-3.650896251201629639e-04,7.267843931913375854e-03,1.785861492156982422e+00,7.035863488140257915e-02,6.262830313421570427e-03,7.066588111625494995e-02,9.457046313748330990e-02,2.547595277428627014e-02,-3.440698981285095215e-02,1.658936738967895508e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.035863488140257915e-02,6.262830313421570427e-03,7.066588111625494995e-02,9.457046313748330990e-02,6.433496093750000000e+02,6.322515258789062500e+02,5.355454101562500000e+02,6.253558349609375000e+02,7.945436348353498488e+02
1.299999999999999940e-02,-1.968396827578544617e-02,3.785221278667449951e-02,-2.535389184951782227e+00,5.791984498500823975e-03,3.445222973823547363e-03,-8.764524459838867188e-01,-5.705676461350590867e-02,7.279995298533528669e-02,-8.822792495780731881e-04,3.971685636803781727e-02,1.968396827578544617e-02,-3.785221278667449951e-02,2.535389184951782227e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.279995298533528669e-02,0.000000000000000000e+00,3.971685636803781727e-02,7.560412597656250000e+02,6.917412719726562500e+02,6.479448242187500000e+02,7.380476684570312500e+02,8.056580042849698202e+02
